"","","","","//==================================
// credits
//==================================","","","",""
"string","str-0x4","","","企画","",,"=IF(F2=I2, ""UNTRANSLATED"", """")",""
"string","str-0xC","","","工藤裕司","",,"=IF(F3=I3, ""UNTRANSLATED"", """")",""
"string","str-0x19","","","製作総指揮","",,"=IF(F4=I4, ""UNTRANSLATED"", """")",""
"string","str-0x27","","","工藤　浩","",,"=IF(F5=I5, ""UNTRANSLATED"", """")",""
"string","str-0x34","","","プロデューサー","",,"=IF(F6=I6, ""UNTRANSLATED"", """")",""
"string","str-0x46","","","大里幸夫","",,"=IF(F7=I7, ""UNTRANSLATED"", """")",""
"string","str-0x53","","","清水　始","",,"=IF(F8=I8, ""UNTRANSLATED"", """")",""
"string","str-0x5F","","","今井丈雄","",,"=IF(F9=I9, ""UNTRANSLATED"", """")",""
"string","str-0x6C","","","原作","",,"=IF(F10=I10, ""UNTRANSLATED"", """")",""
"string","str-0x74","","","Ｐ．Ｈ．チャダ","",,"=IF(F11=I11, ""UNTRANSLATED"", """")",""
"string","str-0x86","","","( ｢FAR EAST OF EDEN｣より )","",,"=IF(F12=I12, ""UNTRANSLATED"", """")",""
"string","str-0xA3","","","脚本","",,"=IF(F13=I13, ""UNTRANSLATED"", """")",""
"string","str-0xAB","","","あだちひろし","",,"=IF(F14=I14, ""UNTRANSLATED"", """")",""
"string","str-0xBC","","","音楽プロデュース","",,"=IF(F15=I15, ""UNTRANSLATED"", """")",""
"string","str-0xD0","","","坂本龍一","",,"=IF(F16=I16, ""UNTRANSLATED"", """")",""
"string","str-0xDD","","","声の出演","",,"=IF(F17=I17, ""UNTRANSLATED"", """")",""
"string","str-0xE9","","","岩田光央","",,"=IF(F18=I18, ""UNTRANSLATED"", """")",""
"string","str-0xF5","","","塩沢兼人","",,"=IF(F19=I19, ""UNTRANSLATED"", """")",""
"string","str-0x101","","","江森浩子","",,"=IF(F20=I20, ""UNTRANSLATED"", """")",""
"string","str-0x10D","","","青野　武","",,"=IF(F21=I21, ""UNTRANSLATED"", """")",""
"string","str-0x11A","","","加藤精三","",,"=IF(F22=I22, ""UNTRANSLATED"", """")",""
"string","str-0x126","","","銀河万丈","",,"=IF(F23=I23, ""UNTRANSLATED"", """")",""
"string","str-0x132","","","田中康郎","",,"=IF(F24=I24, ""UNTRANSLATED"", """")",""
"string","str-0x13E","","","鶴ひろみ","",,"=IF(F25=I25, ""UNTRANSLATED"", """")",""
"string","str-0x14B","","","野田圭一","",,"=IF(F26=I26, ""UNTRANSLATED"", """")",""
"string","str-0x157","","","大竹　宏","",,"=IF(F27=I27, ""UNTRANSLATED"", """")",""
"string","str-0x163","","","宮内幸平","",,"=IF(F28=I28, ""UNTRANSLATED"", """")",""
"string","str-0x16F","","","森　功至","",,"=IF(F29=I29, ""UNTRANSLATED"", """")",""
"string","str-0x17C","","","矢田耕司","",,"=IF(F30=I30, ""UNTRANSLATED"", """")",""
"string","str-0x188","","","屋良有作","",,"=IF(F31=I31, ""UNTRANSLATED"", """")",""
"string","str-0x194","","","塩屋浩三","",,"=IF(F32=I32, ""UNTRANSLATED"", """")",""
"string","str-0x1A0","","","渡辺菜生子","",,"=IF(F33=I33, ""UNTRANSLATED"", """")",""
"string","str-0x1AF","","","塩屋　翼","",,"=IF(F34=I34, ""UNTRANSLATED"", """")",""
"string","str-0x1BB","","","佐藤正治","",,"=IF(F35=I35, ""UNTRANSLATED"", """")",""
"string","str-0x1C7","","","戸谷公次","",,"=IF(F36=I36, ""UNTRANSLATED"", """")",""
"string","str-0x1D3","","","片石千春","",,"=IF(F37=I37, ""UNTRANSLATED"", """")",""
"string","str-0x1DF","","","平野正人","",,"=IF(F38=I38, ""UNTRANSLATED"", """")",""
"string","str-0x1EC","","","特別出演","",,"=IF(F39=I39, ""UNTRANSLATED"", """")",""
"string","str-0x1F8","","","大竹まこと","",,"=IF(F40=I40, ""UNTRANSLATED"", """")",""
"string","str-0x206","","","永井真理子","",,"=IF(F41=I41, ""UNTRANSLATED"", """")",""
"string","str-0x214","","","横山智左","",,"=IF(F42=I42, ""UNTRANSLATED"", """")",""
"string","str-0x221","","","美術監督","",,"=IF(F43=I43, ""UNTRANSLATED"", """")",""
"string","str-0x22D","","","辻野寅次郎","",,"=IF(F44=I44, ""UNTRANSLATED"", """")",""
"string","str-0x23C","","","グラフィック監修","",,"=IF(F45=I45, ""UNTRANSLATED"", """")",""
"string","str-0x250","","","岡本敏郎","",,"=IF(F46=I46, ""UNTRANSLATED"", """")",""
"string","str-0x25C","","","進藤　司","",,"=IF(F47=I47, ""UNTRANSLATED"", """")",""
"string","str-0x269","","","原画","",,"=IF(F48=I48, ""UNTRANSLATED"", """")",""
"string","str-0x271","","","辻野芳輝","",,"=IF(F49=I49, ""UNTRANSLATED"", """")",""
"string","str-0x27D","","","堤　八郎","",,"=IF(F50=I50, ""UNTRANSLATED"", """")",""
"string","str-0x289","","","相庭よた郎","",,"=IF(F51=I51, ""UNTRANSLATED"", """")",""
"string","str-0x298","","","背景","",,"=IF(F52=I52, ""UNTRANSLATED"", """")",""
"string","str-0x2A0","","","アトリエ・ラスコー","",,"=IF(F53=I53, ""UNTRANSLATED"", """")",""
"string","str-0x2B7","","","音楽監督","",,"=IF(F54=I54, ""UNTRANSLATED"", """")",""
"string","str-0x2C3","","","中神紀之","",,"=IF(F55=I55, ""UNTRANSLATED"", """")",""
"string","str-0x2D0","","","音楽","",,"=IF(F56=I56, ""UNTRANSLATED"", """")",""
"string","str-0x2D8","","","小久保　隆","",,"=IF(F57=I57, ""UNTRANSLATED"", """")",""
"string","str-0x2E7","","","成田　忍","",,"=IF(F58=I58, ""UNTRANSLATED"", """")",""
"string","str-0x2F3","","","荒殿　卓","",,"=IF(F59=I59, ""UNTRANSLATED"", """")",""
"string","str-0x2FF","","","越水　淳","",,"=IF(F60=I60, ""UNTRANSLATED"", """")",""
"string","str-0x30C","","","松本かよ","",,"=IF(F61=I61, ""UNTRANSLATED"", """")",""
"string","str-0x318","","","山口高志","",,"=IF(F62=I62, ""UNTRANSLATED"", """")",""
"string","str-0x325","","","マニュピレーター","",,"=IF(F63=I63, ""UNTRANSLATED"", """")",""
"string","str-0x339","","","小原　肇","",,"=IF(F64=I64, ""UNTRANSLATED"", """")",""
"string","str-0x345","","","守尾　崇","",,"=IF(F65=I65, ""UNTRANSLATED"", """")",""
"string","str-0x352","","","助監督","",,"=IF(F66=I66, ""UNTRANSLATED"", """")",""
"string","str-0x35C","","","内村享人","",,"=IF(F67=I67, ""UNTRANSLATED"", """")",""
"string","str-0x368","","","小林正樹","",,"=IF(F68=I68, ""UNTRANSLATED"", """")",""
"string","str-0x374","","","高山昌也","",,"=IF(F69=I69, ""UNTRANSLATED"", """")",""
"string","str-0x381","","","システム・プログラム","",,"=IF(F70=I70, ""UNTRANSLATED"", """")",""
"string","str-0x399","","","三上　哲","",,"=IF(F71=I71, ""UNTRANSLATED"", """")",""
"string","str-0x3A5","","","菊池賢次","",,"=IF(F72=I72, ""UNTRANSLATED"", """")",""
"string","str-0x3B2","","","ゲーム・プログラム","",,"=IF(F73=I73, ""UNTRANSLATED"", """")",""
"string","str-0x3C8","","","中田伸一","",,"=IF(F74=I74, ""UNTRANSLATED"", """")",""
"string","str-0x3D4","","","山森正和","",,"=IF(F75=I75, ""UNTRANSLATED"", """")",""
"string","str-0x3E1","","","サウンド・プログラム","",,"=IF(F76=I76, ""UNTRANSLATED"", """")",""
"string","str-0x3F9","","","滝本利昭","",,"=IF(F77=I77, ""UNTRANSLATED"", """")",""
"string","str-0x405","","","星　恵太","",,"=IF(F78=I78, ""UNTRANSLATED"", """")",""
