"","","","","//==================================
// enemy names
//==================================","","","",""
"string","str-0x2430","","","土ヘビ","",,"=IF(F2=I2, ""UNTRANSLATED"", """")",""
"string","str-0x2437","","","赤ヘビ","",,"=IF(F3=I3, ""UNTRANSLATED"", """")",""
"string","str-0x243E","","","カッパ","",,"=IF(F4=I4, ""UNTRANSLATED"", """")",""
"string","str-0x2445","","","ガタロ","",,"=IF(F5=I5, ""UNTRANSLATED"", """")",""
"string","str-0x244C","","","ヤマワロ","",,"=IF(F6=I6, ""UNTRANSLATED"", """")",""
"string","str-0x2455","","","アカシタ","",,"=IF(F7=I7, ""UNTRANSLATED"", """")",""
"string","str-0x245E","","","大門キツネ","",,"=IF(F8=I8, ""UNTRANSLATED"", """")",""
"string","str-0x2469","","","火ギツネ","",,"=IF(F9=I9, ""UNTRANSLATED"", """")",""
"string","str-0x2472","","","死霊","",,"=IF(F10=I10, ""UNTRANSLATED"", """")",""
"string","str-0x2477","","","マガタマ","",,"=IF(F11=I11, ""UNTRANSLATED"", """")",""
"string","str-0x2480","","","血ぞめコウモリ","",,"=IF(F12=I12, ""UNTRANSLATED"", """")",""
"string","str-0x248F","","","しびれコウモリ","",,"=IF(F13=I13, ""UNTRANSLATED"", """")",""
"string","str-0x249E","","","人喰いネコ","",,"=IF(F14=I14, ""UNTRANSLATED"", """")",""
"string","str-0x24A9","","","ネコおんりょう","",,"=IF(F15=I15, ""UNTRANSLATED"", """")",""
"string","str-0x24B8","","","つるぎ虫","",,"=IF(F16=I16, ""UNTRANSLATED"", """")",""
"string","str-0x24C1","","","どくむし","",,"=IF(F17=I17, ""UNTRANSLATED"", """")",""
"string","str-0x24CA","","","しらぬい","",,"=IF(F18=I18, ""UNTRANSLATED"", """")",""
"string","str-0x24D3","","","テイコウ","",,"=IF(F19=I19, ""UNTRANSLATED"", """")",""
"string","str-0x24DC","","","ショウジョウ","",,"=IF(F20=I20, ""UNTRANSLATED"", """")",""
"string","str-0x24E9","","","ガワラッパ","",,"=IF(F21=I21, ""UNTRANSLATED"", """")",""
"string","str-0x24F4","","","カビゴケ","",,"=IF(F22=I22, ""UNTRANSLATED"", """")",""
"string","str-0x24FD","","","スライム","",,"=IF(F23=I23, ""UNTRANSLATED"", """")",""
"string","str-0x2506","","","こがねスライム","",,"=IF(F24=I24, ""UNTRANSLATED"", """")",""
"string","str-0x2515","","","血ぞめスライム","",,"=IF(F25=I25, ""UNTRANSLATED"", """")",""
"string","str-0x2524","","","バチヘビ","",,"=IF(F26=I26, ""UNTRANSLATED"", """")",""
"string","str-0x252D","","","ツチノコ","",,"=IF(F27=I27, ""UNTRANSLATED"", """")",""
"string","str-0x2536","","","大門ダヌキ","",,"=IF(F28=I28, ""UNTRANSLATED"", """")",""
"string","str-0x2541","","","鬼ダヌキ","",,"=IF(F29=I29, ""UNTRANSLATED"", """")",""
"string","str-0x254A","","","鬼ギツネ","",,"=IF(F30=I30, ""UNTRANSLATED"", """")",""
"string","str-0x2553","","","しのざきギツネ","",,"=IF(F31=I31, ""UNTRANSLATED"", """")",""
"string","str-0x2562","","","つばさブタ","",,"=IF(F32=I32, ""UNTRANSLATED"", """")",""
"string","str-0x256D","","","呪い火","",,"=IF(F33=I33, ""UNTRANSLATED"", """")",""
"string","str-0x2574","","","よろいスライム","",,"=IF(F34=I34, ""UNTRANSLATED"", """")",""
"string","str-0x2583","","","鬼ババ","",,"=IF(F35=I35, ""UNTRANSLATED"", """")",""
"string","str-0x258A","","","ドロウ","",,"=IF(F36=I36, ""UNTRANSLATED"", """")",""
"string","str-0x2591","","","ジャコウ","",,"=IF(F37=I37, ""UNTRANSLATED"", """")",""
"string","str-0x259A","","","怒鬼","",,"=IF(F38=I38, ""UNTRANSLATED"", """")",""
"string","str-0x259F","","","邪鬼","",,"=IF(F39=I39, ""UNTRANSLATED"", """")",""
"string","str-0x25A4","","","賞金かせぎ","",,"=IF(F40=I40, ""UNTRANSLATED"", """")",""
"string","str-0x25AF","","","しびと侍","",,"=IF(F41=I41, ""UNTRANSLATED"", """")",""
"string","str-0x25B8","","","カマイタチ","",,"=IF(F42=I42, ""UNTRANSLATED"", """")",""
"string","str-0x25C3","","","クビキリイタチ","",,"=IF(F43=I43, ""UNTRANSLATED"", """")",""
"string","str-0x25D2","","","スケルトン","",,"=IF(F44=I44, ""UNTRANSLATED"", """")",""
"string","str-0x25DD","","","アンデッド","",,"=IF(F45=I45, ""UNTRANSLATED"", """")",""
"string","str-0x25E8","","","ボーンゴーレム","",,"=IF(F46=I46, ""UNTRANSLATED"", """")",""
"string","str-0x25F7","","","ゾンビ","",,"=IF(F47=I47, ""UNTRANSLATED"", """")",""
"string","str-0x25FE","","","リビングデッド","",,"=IF(F48=I48, ""UNTRANSLATED"", """")",""
"string","str-0x260D","","","シキガミ","",,"=IF(F49=I49, ""UNTRANSLATED"", """")",""
"string","str-0x2616","","","ヤコウ","",,"=IF(F50=I50, ""UNTRANSLATED"", """")",""
"string","str-0x261D","","","牛鬼","",,"=IF(F51=I51, ""UNTRANSLATED"", """")",""
"string","str-0x2622","","","兵隊ネズミ","",,"=IF(F52=I52, ""UNTRANSLATED"", """")",""
"string","str-0x262D","","","よろいネズミ","",,"=IF(F53=I53, ""UNTRANSLATED"", """")",""
"string","str-0x263A","","","大門鬼","",,"=IF(F54=I54, ""UNTRANSLATED"", """")",""
"string","str-0x2641","","","鬼兵士","",,"=IF(F55=I55, ""UNTRANSLATED"", """")",""
"string","str-0x2648","","","鬼侍","",,"=IF(F56=I56, ""UNTRANSLATED"", """")",""
"string","str-0x264D","","","殺人鬼","",,"=IF(F57=I57, ""UNTRANSLATED"", """")",""
"string","str-0x2654","","","冥府の鬼","",,"=IF(F58=I58, ""UNTRANSLATED"", """")",""
"string","str-0x265D","","","黒鬼","",,"=IF(F59=I59, ""UNTRANSLATED"", """")",""
"string","str-0x2662","","","ヤシャ","",,"=IF(F60=I60, ""UNTRANSLATED"", """")",""
"string","str-0x2669","","","鬼ダイショウ","",,"=IF(F61=I61, ""UNTRANSLATED"", """")",""
"string","str-0x2676","","","ベニグモ","",,"=IF(F62=I62, ""UNTRANSLATED"", """")",""
"string","str-0x267F","","","クモ男","",,"=IF(F63=I63, ""UNTRANSLATED"", """")",""
"string","str-0x2686","","","クモ兵士","",,"=IF(F64=I64, ""UNTRANSLATED"", """")",""
"string","str-0x268F","","","鬼グモ","",,"=IF(F65=I65, ""UNTRANSLATED"", """")",""
"string","str-0x2696","","","大門僧","",,"=IF(F66=I66, ""UNTRANSLATED"", """")",""
"string","str-0x269D","","","大門僧正","",,"=IF(F67=I67, ""UNTRANSLATED"", """")",""
"string","str-0x26A6","","","ごほう童子","",,"=IF(F68=I68, ""UNTRANSLATED"", """")",""
"string","str-0x26B1","","","ノブスマ","",,"=IF(F69=I69, ""UNTRANSLATED"", """")",""
"string","str-0x26BA","","","サトリ","",,"=IF(F70=I70, ""UNTRANSLATED"", """")",""
"string","str-0x26C1","","","キツネつき","",,"=IF(F71=I71, ""UNTRANSLATED"", """")",""
"string","str-0x26CC","","","呪いギツネ","",,"=IF(F72=I72, ""UNTRANSLATED"", """")",""
"string","str-0x26D7","","","はぐれオオカミ","",,"=IF(F73=I73, ""UNTRANSLATED"", """")",""
"string","str-0x26E6","","","地獄の番犬","",,"=IF(F74=I74, ""UNTRANSLATED"", """")",""
"string","str-0x26F1","","","大かむろ","",,"=IF(F75=I75, ""UNTRANSLATED"", """")",""
"string","str-0x26FA","","","おばけダヌキ","",,"=IF(F76=I76, ""UNTRANSLATED"", """")",""
"string","str-0x2707","","","辻斬り","",,"=IF(F77=I77, ""UNTRANSLATED"", """")",""
"string","str-0x270E","","","ガキ","",,"=IF(F78=I78, ""UNTRANSLATED"", """")",""
"string","str-0x2713","","","スダマ","",,"=IF(F79=I79, ""UNTRANSLATED"", """")",""
"string","str-0x271A","","","やまんば","",,"=IF(F80=I80, ""UNTRANSLATED"", """")",""
"string","str-0x2723","","","オーク","",,"=IF(F81=I81, ""UNTRANSLATED"", """")",""
"string","str-0x272A","","","キングオーク","",,"=IF(F82=I82, ""UNTRANSLATED"", """")",""
"string","str-0x2737","","","ワイラ","",,"=IF(F83=I83, ""UNTRANSLATED"", """")",""
"string","str-0x273E","","","山鬼","",,"=IF(F84=I84, ""UNTRANSLATED"", """")",""
"string","str-0x2743","","","鬼神","",,"=IF(F85=I85, ""UNTRANSLATED"", """")",""
"string","str-0x2748","","","あくま大僧正","",,"=IF(F86=I86, ""UNTRANSLATED"", """")",""
"string","str-0x2755","","","ゾンビマスター","",,"=IF(F87=I87, ""UNTRANSLATED"", """")",""
"string","str-0x2764","","","いくさネズミ","",,"=IF(F88=I88, ""UNTRANSLATED"", """")",""
"string","str-0x2771","","","とうもくネズミ","",,"=IF(F89=I89, ""UNTRANSLATED"", """")",""
"string","str-0x2780","","","しびと食らい","",,"=IF(F90=I90, ""UNTRANSLATED"", """")",""
"string","str-0x278D","","","呪いザル","",,"=IF(F91=I91, ""UNTRANSLATED"", """")",""
"string","str-0x2796","","","大ザル","",,"=IF(F92=I92, ""UNTRANSLATED"", """")",""
"string","str-0x279D","","","手負いグマ","",,"=IF(F93=I93, ""UNTRANSLATED"", """")",""
"string","str-0x27A8","","","殺人グマ","",,"=IF(F94=I94, ""UNTRANSLATED"", """")",""
"string","str-0x27B8","","","ヘルドッグ","",,"=IF(F95=I95, ""UNTRANSLATED"", """")",""
"string","str-0x27C3","","","ゴブリン","",,"=IF(F96=I96, ""UNTRANSLATED"", """")",""
"string","str-0x27CC","","","ホブゴブリン","",,"=IF(F97=I97, ""UNTRANSLATED"", """")",""
"string","str-0x27D9","","","コボルト","",,"=IF(F98=I98, ""UNTRANSLATED"", """")",""
"string","str-0x27E2","","","チーフコボルト","",,"=IF(F99=I99, ""UNTRANSLATED"", """")",""
