"","","","","//==================================
// generic text (item use, etc.)
//==================================","","","",""
"string","str-0x0_0","","","マップ用スタックのエラーです","",,"=IF(F2=I2, ""UNTRANSLATED"", """")",""
"string","str-0x1D_0","","","敵ナンバーのエラーです","",,"=IF(F3=I3, ""UNTRANSLATED"", """")",""
"string","str-0x34_0","[color]<$01>","","とくに　かわったことは　ない","",,"=IF(F4=I4, ""UNTRANSLATED"", """")",""
"string","str-0x53_0","[color]<$01>","","術は　もう持てません\n
なにか捨てますか","",,"=IF(F5=I5, ""UNTRANSLATED"", """")",""
"string","str-0x7B_0","[color]<$01>","","道具は　もう持てません\n
なにか捨てますか","",,"=IF(F6=I6, ""UNTRANSLATED"", """")",""
"string","str-0xA5_0","[color]<$01>","","[string]は\n
[string]を　つかった！","",,"=IF(F7=I7, ""UNTRANSLATED"", """")",""
"string","str-0xBB_0","[color]<$01>","","コガマは　いません","",,"=IF(F8=I8, ""UNTRANSLATED"", """")",""
"string","str-0xD0_0","[color]<$01>","","ここでは　つかえません","",,"=IF(F9=I9, ""UNTRANSLATED"", """")",""
"string","str-0xE9_0","[color]<$01>","","[number]両を　手に入れた！","",,"=IF(F10=I10, ""UNTRANSLATED"", """")",""
"string","str-0xFF_0","[color]<$01>","","なにもありません","",,"=IF(F11=I11, ""UNTRANSLATED"", """")",""
"string","str-0x112_1","","","[string]を手に入れます\n
誰が持ちますか","",,"=IF(F12=I12, ""UNTRANSLATED"", """")",""
"string","str-0x134_0","[color]<$01>","","[string]を手に入れます","",,"=IF(F13=I13, ""UNTRANSLATED"", """")",""
"string","str-0x146_1","","","誰を　回復しますか","",,"=IF(F14=I14, ""UNTRANSLATED"", """")",""
"string","str-0x15C_0","[color]<$01>","","いまは　つかえない","",,"=IF(F15=I15, ""UNTRANSLATED"", """")",""
"string","str-0x171_0","[color]<$01>","","技の力が　たりない","",,"=IF(F16=I16, ""UNTRANSLATED"", """")",""
"string","str-0x186_0","[color]<$01>","","しかし　何も　おこらなかった！","",,"=IF(F17=I17, ""UNTRANSLATED"", """")",""
"string","str-0x1A7_0","[color]<$01>","","[string]の　体の力が\n
[number]ポイント　回復した！","",,"=IF(F18=I18, ""UNTRANSLATED"", """")",""
"string","str-0x1CD_0","[color]<$01>","","[string]の　技の力が\n
[number]ポイント　回復した！","",,"=IF(F19=I19, ""UNTRANSLATED"", """")",""
"string","str-0x1F3_0","[color]<$01>","","[string]の　体の力が\n
尽きてしまった！","",,"=IF(F20=I20, ""UNTRANSLATED"", """")",""
"string","str-0x214_0","[color]<$01>","","[string]を捨ててよろしいですか","",,"=IF(F21=I21, ""UNTRANSLATED"", """")",""
