"","","","","//==================================
// item/technique info menu
//==================================","","","",""
"string","str-0x74C_0","[color]<$01>","","[string]　／　[string][color]<$00>\n
？","",,"=IF(F2=I2, ""UNTRANSLATED"", """")",""
"string","str-0x75C_0","[color]<$01>","","[string]　／　[string][color]<$00>\n
装備すると　攻撃力が\n
[number]ポイントあがります","",,"=IF(F3=I3, ""UNTRANSLATED"", """")",""
"string","str-0x75C_2","","","ジライアが　装備すると\n
さらに　攻撃力が\n
[number]ポイントあがります","",,"=IF(F4=I4, ""UNTRANSLATED"", """")",""
"string","str-0x7CE_0","[color]<$01>","","[string]　／　[string][color]<$00>\n
装備すると　攻撃力が\n
[number]ポイントあがります","=T(F3)","=""DUPE: ""&ADDRESS(ROW(F3), COLUMN(F3), 4)",,
"string","str-0x7CE_2","","","オロチ丸が　装備すると\n
さらに　攻撃力が\n
[number]ポイントあがります","",,"=IF(F6=I6, ""UNTRANSLATED"", """")",""
"string","str-0x840_0","[color]<$01>","","[string]　／　[string][color]<$00>\n
装備すると　攻撃力が\n
[number]ポイントあがります","=T(F3)","=""DUPE: ""&ADDRESS(ROW(F3), COLUMN(F3), 4)",,
"string","str-0x840_2","","","ツナデが　装備すると\n
さらに　攻撃力が\n
[number]ポイントあがります","",,"=IF(F8=I8, ""UNTRANSLATED"", """")",""
"string","str-0x8B0_0","[color]<$01>","","[string]　／　[string][color]<$00>\n
装備すると　守備力が\n
[number]ポイントあがります","",,"=IF(F9=I9, ""UNTRANSLATED"", """")",""
"string","str-0x8E6_0","[color]<$01>","","[string]　／　[string][color]<$00>\n
装備すると　すばやさが\n
[number]ポイントあがります","",,"=IF(F10=I10, ""UNTRANSLATED"", """")",""
"string","str-0x91E_0","[color]<$01>","","[string]　／　[string][color]<$00>\n
仲間１人の　体の力を\n
[number]ポイント回復します","",,"=IF(F11=I11, ""UNTRANSLATED"", """")",""
"string","str-0x954_0","[color]<$01>","","[string]　／　[string][color]<$00>\n
仲間１人の　体の力を\n
完全回復します","",,"=IF(F12=I12, ""UNTRANSLATED"", """")",""
"string","str-0x985_0","[color]<$01>","","[string]　／　[string][color]<$00>\n
仲間全員の　体の力を\n
[number]ポイント回復します","",,"=IF(F13=I13, ""UNTRANSLATED"", """")",""
"string","str-0x9BB_0","[color]<$01>","","[string]　／　[string][color]<$00>\n
仲間全員の　体の力を\n
完全回復します","",,"=IF(F14=I14, ""UNTRANSLATED"", """")",""
"string","str-0x9EC_0","[color]<$01>","","[string]　／　[string][color]<$00>\n
仲間１人の　技の力を\n
[number]ポイント回復します","",,"=IF(F15=I15, ""UNTRANSLATED"", """")",""
"string","str-0xA22_0","[color]<$01>","","[string]　／　[string][color]<$00>\n
仲間１人の　技の力を\n
完全回復します","",,"=IF(F16=I16, ""UNTRANSLATED"", """")",""
"string","str-0xA53_0","[color]<$01>","","[string]　／　[string][color]<$00>\n
仲間１人の\n
敵に吹きかけられた毒を　消します","",,"=IF(F17=I17, ""UNTRANSLATED"", """")",""
"string","str-0xA8C_0","[color]<$01>","","[string]　／　[string][color]<$00>\n
敵１匹を　眠らせます","",,"=IF(F18=I18, ""UNTRANSLATED"", """")",""
"string","str-0xAAE_0","[color]<$01>","","[string]　／　[string][color]<$00>\n
敵全員を　眠らせます","",,"=IF(F19=I19, ""UNTRANSLATED"", """")",""
"string","str-0xAD0_0","[color]<$01>","","[string]　／　[string][color]<$00>\n
１度訪れた雲切りの里に\n
戻れます","",,"=IF(F20=I20, ""UNTRANSLATED"", """")",""
"string","str-0xAFD_0","[color]<$01>","","[string]　／　[string][color]<$00>\n
地下から\n
地上に脱出できます","",,"=IF(F21=I21, ""UNTRANSLATED"", """")",""
"string","str-0xB26_0","[color]<$01>","","[string]　／　[string][color]<$00>\n
筑波の国の　地図です","",,"=IF(F22=I22, ""UNTRANSLATED"", """")",""
"string","str-0xB48_0","[color]<$01>","","[string]　／　[string][color]<$00>\n
磐毛の国の　地図です","",,"=IF(F23=I23, ""UNTRANSLATED"", """")",""
"string","str-0xB6A_0","[color]<$01>","","[string]　／　[string][color]<$00>\n
陸羽の国の　地図です","",,"=IF(F24=I24, ""UNTRANSLATED"", """")",""
"string","str-0xB8C_0","[color]<$01>","","[string]　／　[string][color]<$00>\n
陸奥の国の　地図です","",,"=IF(F25=I25, ""UNTRANSLATED"", """")",""
