"","","","","//==================================
// intro
//==================================","","","",""
"string","str-0x13D5_1","","","　　遠い　遠い　はるか　昔・・・\n
　　　　世界の東のはずれに\n
　　ジパングと呼ばれる国があった","",,"=IF(F2=I2, ""UNTRANSLATED"", """")",""
"string","str-0x143E_1","","","　　ジパングは　周囲を海に囲まれ\n
春夏秋冬　季節を問わず花が咲き乱れる\n
　　　平和で美しい国であった","",,"=IF(F3=I3, ""UNTRANSLATED"", """")",""
"string","str-0x143E_5","","","　　　　　何千年もの昔から\n
　　　　　　今に至るまで・・・","",,"=IF(F4=I4, ""UNTRANSLATED"", """")",""
"string","str-0x14F2_1","","","　　　　しかし　そのジパングも\n
　　　　　かつて　一度だけ\n
　　　　滅びかけたことがあった","",,"=IF(F5=I5, ""UNTRANSLATED"", """")",""
"string","str-0x1557_1","","","\n
　　　　　この男のために！","",,"=IF(F6=I6, ""UNTRANSLATED"", """")",""
"string","str-0x1580_1","","","\n
　　　その名を　マサカドという","",,"=IF(F7=I7, ""UNTRANSLATED"", """")",""
"string","str-0x1580_5","","","　　　　　　　マサカドは\n
　　　　ジパングを　自らの望む\n
　　　理想郷にしようと　もくろんだ","",,"=IF(F8=I8, ""UNTRANSLATED"", """")",""
"string","str-0x1580_9","","","　　　そして　その土台造りとして\n
　　この国の　全てを　無に還すべく\n
　　　　　破壊に破壊を重ねた","",,"=IF(F9=I9, ""UNTRANSLATED"", """")",""
"string","str-0x167D_1","","","　　　大地はひび割れ　めくれあがり\n
　　　　川が枯れ　海が干上がり\n
　　　　空は　漆黒の闇と化した","",,"=IF(F10=I10, ""UNTRANSLATED"", """")",""
"string","str-0x167D_5","","","そして　ごうごうと　どよもす風の中で\n
　　　　　すべての　生き物が\n
　　　死に絶えようと　した時・・・","",,"=IF(F11=I11, ""UNTRANSLATED"", """")",""
"string","str-0x1759_1","","","　　火の一族と呼ばれる者たちが\n
　　　いずこからともなく現れ\n
　マサカドに　立ち向かったという","",,"=IF(F12=I12, ""UNTRANSLATED"", """")",""
"string","str-0x17C2_1","","","　　　火の一族と　マサカドの死闘は\n
　　えんえん　百日の長きにわたって\n
　　　　　　続いたという","",,"=IF(F13=I13, ""UNTRANSLATED"", """")",""
"string","str-0x183A_1","","","　　　その死闘のはて　ついに\n
マサカドの霊を　地中に封印した時には\n
火の一族の　ほとんどが死に絶えていた","",,"=IF(F14=I14, ""UNTRANSLATED"", """")",""
"string","str-0x18AD_1","","","　　　　かくして　ジパングは\n
　　　　平和を　とりもどした","",,"=IF(F15=I15, ""UNTRANSLATED"", """")",""
"string","str-0x18F3_1","","","　　光や水や　大地や雲が　よみがえり\n
　　木の芽がふき　水がわき　花が咲き\n
　　　空は　その青さを取り戻した","",,"=IF(F16=I16, ""UNTRANSLATED"", """")",""
"string","str-0x196A_1","","","　　　　　だが　その安らぎも\n
　　ほんの　わずかな時でしかなかった","",,"=IF(F17=I17, ""UNTRANSLATED"", """")",""
"string","str-0x19B8_1","","","　　　ジパングを　我がものにせんと\n
　　　　マサカドの復活をたくらむ\n
　　　　　　　悪の一団が","",,"=IF(F18=I18, ""UNTRANSLATED"", """")",""
"string","str-0x19B8_5","","","　　　　　　その行動を\n
　　　開始していたのだった・・・","",,"=IF(F19=I19, ""UNTRANSLATED"", """")",""
"string","str-0x1A64_1","","","　　ジパングの筑波と　呼ばれる山に\n
　　　　わずかばかり　残った\n
　火の一族の　まつえいのひとりがいた","",,"=IF(F20=I20, ""UNTRANSLATED"", """")",""
"string","str-0x1AD5_1","","","ようっ！　ガマ仙人の　じっちゃま！！","",,"=IF(F21=I21, ""UNTRANSLATED"", """")",""
"string","str-0x1AD5_5","","","マサカドって　やつは\n
そんなにすごいのか","",,"=IF(F22=I22, ""UNTRANSLATED"", """")",""
"string","str-0x1AD5_9","","","ふむ　きゃつが　動く時\n
大木は倒れ　火が走り　その後には\n
しかばねしか残らんと　言われておる","",,"=IF(F23=I23, ""UNTRANSLATED"", """")",""
"string","str-0x1AD5_13","","","へぇー！　そんなに　すごいやつが\n
復活したら　この筑波山も\n
消えて　なくなっちまうのか","",,"=IF(F24=I24, ""UNTRANSLATED"", """")",""
"string","str-0x1AD5_17","","","そうじゃ！！","",,"=IF(F25=I25, ""UNTRANSLATED"", """")",""
"string","str-0x1AD5_21","","","筑波山の　鳥や　動物も　カエルたちも\n
みんな　マサカドのやつに\n
消されっちまうのか？","",,"=IF(F26=I26, ""UNTRANSLATED"", """")",""
"string","str-0x1AD5_25","","","そうじゃ！！","=T(F25)","=""DUPE: ""&ADDRESS(ROW(F25), COLUMN(F25), 4)",,
