"","","","","//==================================
// kernel menus
//==================================","","","",""
"","","","","//=====
// character select menu placeholder
//=====","","","",""
"string","str-0x17AB","","","        \n
!#      \n","",,"=IF(F3=I3, ""UNTRANSLATED"", """")",""
"","","","","//=====
// character names, top row
//=====","","","",""
"string","str-0x1893","",""," ﾞ        ","",,"=IF(F5=I5, ""UNTRANSLATED"", """")",""
"string","str-0x189E","","","          ","",,"=IF(F6=I6, ""UNTRANSLATED"", """")",""
"string","str-0x18A9","","","   ﾞ      ","",,"=IF(F7=I7, ""UNTRANSLATED"", """")",""
"","","","","//=====
// character names, bottom row
//=====","","","",""
"string","str-0x18B4","",""," ｼﾗｲｱ  $2(","",,"=IF(F9=I9, ""UNTRANSLATED"", """")",""
"string","str-0x18BF","",""," ｵﾛﾁﾏﾙ $2(","",,"=IF(F10=I10, ""UNTRANSLATED"", """")",""
"string","str-0x18CA","",""," ﾂﾅﾃ   $2(","",,"=IF(F11=I11, ""UNTRANSLATED"", """")",""
"","","","","//=====
// character name/HP/TP display
//=====","","","",""
"string","str-0x18D5","","","          ","=T(F6)","=""DUPE: ""&ADDRESS(ROW(F6), COLUMN(F6), 4)",,
"string","str-0x18E0","",""," ^_ $3    ","",,"=IF(F14=I14, ""UNTRANSLATED"", """")",""
"string","str-0x18EB","",""," \] $3    ","",,"=IF(F15=I15, ""UNTRANSLATED"", """")",""
"string","str-0x18F6","","","\n","",,"=IF(F16=I16, ""UNTRANSLATED"", """")",""
"","","","","//==================================
// orochimaru name patches
//==================================","","","",""
"","","","","//=====
// bottom row normal
//=====","","","",""
"string","rawstr-0xD9E","","","ｵﾛﾁﾏﾙ","",,"=IF(F19=I19, ""UNTRANSLATED"", """")",""
"","","","","//=====
// top row normal
//=====","","","",""
"string","rawstr-0xDA8","",""," ","",,"=IF(F21=I21, ""UNTRANSLATED"", """")",""
"","","","","//=====
// bottom row kuroi kage
//=====","","","",""
"string","rawstr-0xDA3","","","ｸﾛｲｶｹ","",,"=IF(F23=I23, ""UNTRANSLATED"", """")",""
"","","","","//=====
// top row kuroi kage
//=====","","","",""
"string","rawstr-0xDA9","","","ﾞ","",,"=IF(F25=I25, ""UNTRANSLATED"", """")",""
"","","","","//==================================
// overworld menus
//==================================","","","",""
"","","","","//=====
// ?
//=====","","","",""
"string","str-0x1E6A","","","            \n","",,"=IF(F28=I28, ""UNTRANSLATED"", """")",""
"string","str-0x1F06","","","        \n
#       \n","",,"=IF(F29=I29, ""UNTRANSLATED"", """")",""
"","","","","//=====
// main menu
//=====","","","",""
"string","str-0x2712","","","       ﾞ  \n
!ﾊﾅｽ !ｺｶﾏ \n
 ﾞ ﾞ    ﾞ \n
!ﾄｳｸ !ｿｳﾋ \n
 ﾞ      ﾞ \n
!ｼｭﾂ !ｼﾗﾍﾙ\n
        ﾞ \n
!ﾂﾖｻ !ﾓｰﾄ \n
[end]

// parameters
<$7B><$B7>
<$52><$BD>
<$01><$B8>
<$15><$B9>
<$8D><$B7>
<$81><$B7>
<$43><$B9>
<$84><$BD>","",,"=IF(F31=I31, ""UNTRANSLATED"", """")",""
"","","","","//=====
// use/give menu
//=====","","","",""
"string","str-0x27B2","","","    \n
!ﾂｶｳ\n
    \n
!ﾜﾀｽ\n
[end]

// parameters
<$CB><$B7>
<$D7><$B7>","",,"=IF(F33=I33, ""UNTRANSLATED"", """")",""
"","","","","//=====
// use/give/drop menu
//=====","","","",""
"string","str-0x2829","","","    \n
!ﾂｶｳ\n
    \n
!ﾜﾀｽ\n
    \n
!ｽﾃﾙ\n
[end]

// parameters
<$4E><$B8>
<$83><$B8>
<$88><$B8>","",,"=IF(F35=I35, ""UNTRANSLATED"", """")",""
"","","","","//=====
// status display: top window
//=====","","","",""
"string","str-0x2B0E","","","     $3   ","",,"=IF(F37=I37, ""UNTRANSLATED"", """")",""
"string","str-0x2B19","","","\n","=T(F16)","=""DUPE: ""&ADDRESS(ROW(F16), COLUMN(F16), 4)",,
"string","str-0x2B1B","","","  ^_ ---  ","",,"=IF(F39=I39, ""UNTRANSLATED"", """")",""
"string","str-0x2B26","","","  \] ---  ","",,"=IF(F40=I40, ""UNTRANSLATED"", """")",""
"","","","","//=====
// status display: bottom window
//=====","","","",""
"string","str-0x2C2E","","","                      \n
 #      $2(  ","",,"=IF(F42=I42, ""UNTRANSLATED"", """")",""
"string","str-0x2C53","","",") $5   @","",,"=IF(F43=I43, ""UNTRANSLATED"", """")",""
"string","str-0x2C5C","","","        ","",,"=IF(F44=I44, ""UNTRANSLATED"", """")",""
