,,,,"//==================================
// credits
//==================================",,,
string,str-0x4,,,企画,Planner,,
string,str-0xC,,,工藤裕司,Yuji Kudo,,
string,str-0x19,,,製作総指揮,Executive Producer,,
string,str-0x27,,,工藤　浩,Hiroshi Kudo,,
string,str-0x34,,,プロデューサー,Producers,,
string,str-0x46,,,大里幸夫,Yukio Osato,,
string,str-0x53,,,清水　始,Hajime Shimizu,,
string,str-0x5F,,,今井丈雄,Takeo Imai,,
string,str-0x6C,,,原作,Original Work,,
string,str-0x74,,,Ｐ．Ｈ．チャダ,P.H. Chada,"NOTE: ""P.H. Chada"" is an entirely ficticious individual. According to Wikipedia, チャダ is a loose anagram of あだち, the actual scriptwriter('s alias), with ""P.H."" possibly standing for ""Prince Hiroi"" = 広井王子, the director.",
string,str-0x86,,,( ｢FAR EAST OF EDEN｣より ),(based on {Far East of Eden}),"NOTE: and of course there is also no such ""original work""",
string,str-0xA3,,,脚本,Script,,
string,str-0xAB,,,あだちひろし,Hiroshi Adachi,"NOTE: mobygames claims this is an alias of Oji Hiroi, but every Japanese source I can find indicates they're different people",
string,str-0xBC,,,音楽プロデュース,Music Producer,,
string,str-0xD0,,,坂本龍一,Ryuichi Sakamoto,,
string,str-0xDD,,,声の出演,Voice Acting,,
string,str-0xE9,,,岩田光央,Mitsuo Iwata,,
string,str-0xF5,,,塩沢兼人,Kaneto Shiozawa,,
string,str-0x101,,,江森浩子,Hiroko Emori,,
string,str-0x10D,,,青野　武,Takeshi Aono,,
string,str-0x11A,,,加藤精三,Seizo Kato,,
string,str-0x126,,,銀河万丈,Banjo Ginga,,
string,str-0x132,,,田中康郎,Yasuo Tanaka,,
string,str-0x13E,,,鶴ひろみ,Hiromi Tsuru,,
string,str-0x14B,,,野田圭一,Keiichi Noda,,
string,str-0x157,,,大竹　宏,Hiroshi Otake,,
string,str-0x163,,,宮内幸平,Kohei Miyauchi,,
string,str-0x16F,,,森　功至,Katsuji Mori,,
string,str-0x17C,,,矢田耕司,Koji Yada,,
string,str-0x188,,,屋良有作,Yusaku Yara,,
