,,,,"//==================================
// enemy names
//==================================",,,
string,str-0x2430,,,土ヘビ,Earth Snake,,
string,str-0x2437,,,赤ヘビ,Red Snake,,
string,str-0x243E,,,カッパ,Kappa,,
string,str-0x2445,,,ガタロ,Gataro,,
string,str-0x244C,,,ヤマワロ,Yamawaro,,
string,str-0x2455,,,アカシタ,Akashita,,
string,str-0x245E,,,大門キツネ,Daimonist Kitsune,,
string,str-0x2469,,,火ギツネ,Higitsune,,
string,str-0x2472,,,死霊,Spirit,,
string,str-0x2477,,,マガタマ,Magatama,,
string,str-0x2480,,,血ぞめコウモリ,Bloody Bat,,
string,str-0x248F,,,しびれコウモリ,Electric Bat,ZenkiTN: a database website mentions this enemy is unused,
string,str-0x249E,,,人喰いネコ,Man-eating Cat,"ZenkiTN: I went for ""cat"" instead of ""Neko"" since there are only these two monsters with ""ネコ"" in the name, plus one of the divine beasts is the ""White  Cat"" and I'm not sure I should call it ""White Neko"". But since the same argument could be made about tanuki and kitsune, I left this note.",
string,str-0x24A9,,,ネコおんりょう,Vengeful Cat,,
string,str-0x24B8,,,つるぎ虫,Sword Bug,,
string,str-0x24C1,,,どくむし,Poison Bug,,
string,str-0x24CA,,,しらぬい,Shiranui,,
string,str-0x24D3,,,テイコウ,Dijiang,ZenkiTN: It's a Chinese folklore creature,
string,str-0x24DC,,,ショウジョウ,Xingxing,ZenkiTN: another Chinese folklore creature,
string,str-0x24E9,,,ガワラッパ,Gawarappa,ZenkiTN: this enemy is also unused,
string,str-0x24F4,,,カビゴケ,Moldy Corpse,"ZenkiTN: I couldn't find an actual reference to this creature, but since ""kabi"" means mold, I'm making the assumption this is some kind of moldy corpse",
string,str-0x24FD,,,スライム,Slime,,
string,str-0x2506,,,こがねスライム,Golden Slime,,
string,str-0x2515,,,血ぞめスライム,Bloody Slime,,
string,str-0x2524,,,バチヘビ,Bachi-hebi,,
string,str-0x252D,,,ツチノコ,Tsuchinoko,"ZenkiTN: the game makes them different, but a bachi-hebi is just another name for the tsuchinoko",
string,str-0x2536,,,大門ダヌキ,Daimonist Tanuki,,
string,str-0x2541,,,鬼ダヌキ,Oni-danuki,,
string,str-0x254A,,,鬼ギツネ,Oni-gitsune,,
string,str-0x2553,,,しのざきギツネ,Shinozaki-gitsune,ZenkiTN: this enemy is also unused,
string,str-0x2562,,,つばさブタ,Flying Pig,,
