,,,,"//==================================
// item/technique info menu
//==================================",,,
string,str-0x74C_0,[color]<$01>,,"[string]　／　[string][color]<$00>\n
？","[string] [string][color]<$00>\n
?",,
string,str-0x75C_0,[color]<$01>,,"[string]　／　[string][color]<$00>\n
装備すると　攻撃力が\n
[number]ポイントあがります","[string] [string][color]<$00>\n
Increases Attack by [number] when equipped.",,
string,str-0x75C_2,,,"ジライアが　装備すると\n
さらに　攻撃力が\n
[number]ポイントあがります","If Ziria equips it, Attack is additionally increased by [number].",,
string,str-0x7CE_0,[color]<$01>,,"[string]　／　[string][color]<$00>\n
装備すると　攻撃力が\n
[number]ポイントあがります","[string] [string][color]<$00>\n
Increases Attack by [number] when equipped.",DUPE: F3,
string,str-0x7CE_2,,,"オロチ丸が　装備すると\n
さらに　攻撃力が\n
[number]ポイントあがります","If Orochimaru equips it, Attack is additionally increased by [number].",,
string,str-0x840_0,[color]<$01>,,"[string]　／　[string][color]<$00>\n
装備すると　攻撃力が\n
[number]ポイントあがります","[string] [string][color]<$00>\n
Increases Attack by [number] when equipped.",DUPE: F3,
string,str-0x840_2,,,"ツナデが　装備すると\n
さらに　攻撃力が\n
[number]ポイントあがります","If Tsunade equips it, Attack is additionally increased by [number].",,
string,str-0x8B0_0,[color]<$01>,,"[string]　／　[string][color]<$00>\n
装備すると　守備力が\n
[number]ポイントあがります","[string] [string][color]<$00>\n
Increases Defense by [number] when equipped.",,
string,str-0x8E6_0,[color]<$01>,,"[string]　／　[string][color]<$00>\n
装備すると　すばやさが\n
[number]ポイントあがります","[string] [string][color]<$00>\n
Increases Speed by [number] when equipped.",,
string,str-0x91E_0,[color]<$01>,,"[string]　／　[string][color]<$00>\n
仲間１人の　体の力を\n
[number]ポイント回復します","[string] [string][color]<$00>\n
Restores [number] HP to one party member.",,
string,str-0x954_0,[color]<$01>,,"[string]　／　[string][color]<$00>\n
仲間１人の　体の力を\n
完全回復します","[string] [string][color]<$00>\n
Fully restores one party member's HP.",,
