,,,,"//==================================
// item names (including technique scrolls)
//==================================",,,,,
string,str-0x26D9,,,　, ,,,,
string,str-0x26DC,,,あおいの剣,Aoi Sword,"NOTE: noting this because i (supper) am an idiot and originally filled it in as ""blue sword"": this is an 葵の剣, referencing the three-葵 crest of the Tokugawa clan, which is famously associated with (the TV drama of) Mito Koumon, from whom you receive this item.",,,あおいのけん
string,str-0x26E7,,,トノ様の剣,Lord's Sword,,,,とのさまのけん
string,str-0x26F2,,,野太刀,Long Sword,,,,のだち
string,str-0x26F9,,,侍の刀,Samurai Sword,,,,さむらいのかたな
string,str-0x2700,,,新月刀,New Moon Sword,,,,しんげつとう
string,str-0x2707,,,円月刀,Full Moon Sword,,,,えんげつとう
string,str-0x270E,,,いざよい刀,Izayoi Sword,,,,いざよいとう
string,str-0x2719,,,夕なぎの剣,Yuunagi Sword,,,,ゆうなぎのけん
string,str-0x2724,,,旋風刀,Whirlwind Sword,,,,せんぷうとう
string,str-0x272B,,,風林火山剣,Fuurinkazan Sword,,,,ふうりんかざんけん
string,str-0x2736,,,風神の剣,Fuujin Sword,,,,ふうじんのけん
string,str-0x273F,,,妖刀村正,Muramasa,,,,ようとうむらまさ
string,str-0x2748,,,白羽の剣,White Plume Sword,,,,しらはのつるぎ
string,str-0x2751,,,大河の剣,Taiga Sword,,,,たいがのけん
string,str-0x275A,,,大地の剣,Daichi Sword,,,,だいちのけん
string,str-0x2763,,,白狼の剣,White Wolf Sword,,,,はくろうのつるぎ
string,str-0x276C,,,白虎の剣,White Tiger Sword,,,,びゃっこのつるぎ
string,str-0x2775,,,天空の剣,Tenkuu Sword,,,,てんくうのけん
string,str-0x277E,,,神通の剣,Sword of the Divine,,,,じんつうのつるぎ
string,str-0x2787,,,♂,X,,,,
string,str-0x278A,,,♂,X,DUPE: F22,,,
string,str-0x278D,,,♂,X,DUPE: F22,,,
string,str-0x2790,,,♂,X,DUPE: F22,,,
string,str-0x2793,,,木の弓,Wooden Bow,,,,きのゆみ
string,str-0x279A,,,紅の弓,Crimson Bow,,,,くれないのゆみ
string,str-0x27A1,,,白羽の弓,White Plume Bow,,,,しらはのゆみ
string,str-0x27AA,,,黒炎の弓,Kokuen Bow,,,,こくえんのゆみ
string,str-0x27B3,,,白狼の弓,White Wolf Bow,,,,はくろうのゆみ
string,str-0x27BC,,,ぐれんの弓,Guren Bow,,,,ぐれんのゆみ
string,str-0x27C7,,,白虎の弓,White Tiger Bow,,,,びゃっこのゆみ
string,str-0x27D0,,,♂,X,DUPE: F22,,,
string,str-0x27D3,,,♂,X,DUPE: F22,,,
