,,,,"//==================================
// save/load menu + restart after party defeated
//==================================",,,
string,str-0x171A_0,,,つかえない,Unusable,,
string,str-0x1725_0,,,最初から　,New Game,,
string,str-0x1730_0,,,　筑波　　,Tsukuba,,
string,str-0x173B_0,,,　磐毛　　,Banmou,,
string,str-0x1746_0,,,　陸羽　　,Rikuu,,
string,str-0x1751_0,,,　陸奥　　,Mutsu,,
string,str-0x175C_0,,,　信濃　　,Shinano,,
string,str-0x1767_0,,,　富士　　,Fuji,,
string,str-0x1772_0,,,　相模　　,Sagami,,
string,str-0x177D_0,,,　千葉　　,Chiba,,
string,str-0x1788_0,,,　武蔵　　,Musashi,,
string,str-0x1793_0,,,ＴＥＮＧＡＩ１,TENGAI1,,
string,str-0x17A2_0,,,ＴＥＮＧＡＩ２,TENGAI2,,
string,str-0x17B1_0,,,ＴＥＮＧＡＩ３,TENGAI3,,
string,str-0x17C0_0,,,ＴＥＮＧＡＩ４,TENGAI4,,
string,str-0x17CF_0,,,ＴＥＮＧＡＩ５,TENGAI5,"NOTE: it appears the developers originally planned to allow you to have 8 save files. the final game only has 4, so these extra ones aren't used.",
string,str-0x17DE_0,,,ＴＥＮＧＡＩ６,TENGAI6,,
string,str-0x17ED_0,,,ＴＥＮＧＡＩ７,TENGAI7,,
string,str-0x17FC_0,,,ＴＥＮＧＡＩ８,TENGAI8,,
string,str-0x180B_1,,,よみこむデータを選んでください,Choose a file to read.,,
string,str-0x182B_1,,,"[string]を\n
よみこみ中です",Now reading from [string].,,
string,str-0x183F_1,,,データをかきこむ場所を選んでください,Choose where to write the file.,,
string,str-0x1865_1,,,"[string]に\n
かきこみ中です",Now writing to [string].,,
string,str-0x1879_0,,,"かきこみ終了しました\n
　　　　　　　　　　\n
　　　　　　　　　　","Write complete.[space8px][space8px][space8px][space8px][space8px][space8px]\n
[space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px]",NOTE: i think the two blank lines at the end of this are a quick hack to make the message display for longer before the screen fades out,
string,str-0x18B9_1,,,"データを　よみこんで\n
前回　かきこんだところから\n
はじめます","The file will be read, and you will resume from where you last wrote it.",,
string,str-0x18F5_1,,,"データが記憶されていないので\n
最初から　はじめます","This file has not been written, so you will start from the beginning.[space8px][space8px][space8px][space8px][space8px][space8px]\n
[space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px][space8px]","NOTE: a little pause would be a good idea here too, IMO",
string,str-0x1928_0,,,"ＢＡＣＫＵＰ　ＲＡＭの\n
データが　多すぎます\n
このデータは　つかえません","There is too much data in the Backup RAM.\n
This file cannot be used.",,
